,id,Blitz_Games,Blitz_rating,Bullet_Games,Bullet_rating,Rapid_Games,Rapid_rating,country
0,mgm2890,0,1500,1,1408,338,2014,No Country
1,sajjad_fathi,664,1717,13,1137,93,1790,IR
2,cagribgoode,1,1702,0,1500,8,1591,No Country
3,conanzhan,32,1214,59,1052,19,1019,GB-ENG
4,koroshkabir1,211,2008,8,1339,0,1500,No Country
5,a_zharif,110,1027,45,955,69,1098,No Country
6,jc_santillan,113,1523,16,1520,12,1938,PH
7,zorroamigo,1589,1956,9148,1542,3369,2148,PH
8,akhilrepalle,1413,2120,15,1537,148,2007,IN
9,pavesh1808,52,1324,107,1225,273,1574,No Country
10,steve_rock_austin,21,1775,20,1649,19,1913,_pirate
11,wangay1968,3,1822,0,1500,28,1372,BT
12,rodriperez261067,0,1500,2,1282,1,1370,No Country
13,pranav101206,6,1030,14,765,179,992,No Country
14,fluffypuddle,0,1500,0,1500,2,1019,No Country
15,geo_cpp2,30,984,0,1500,227,1288,GR
16,manit_11,13,773,3,1379,78,998,IN
17,sams2001,0,1500,104,1884,24,2435,NG
18,tranhaminhanh,22,2270,24,2236,0,1500,No Country
19,kovzan,326,1067,189,769,83,1260,RU
20,lordise124,76,854,64,796,62,1252,No Country
21,bas2006,38,1237,39,1272,67,1611,_lichess
22,davifass,228,1503,160,1440,264,1573,BR
23,teohyuzhe,66,1310,0,1500,12,962,MY
24,hansithasilver,3,1094,50,1172,2,1493,IN
25,gg1427,10,793,0,1500,44,1166,No Country
26,kalash_suman,169,1072,94,907,279,1315,IN
27,arturleandro2021,5921,2555,12114,2339,706,2340,BR
28,amaysharma,871,1906,496,1802,83,1851,IN
29,muthedog,3,1539,7,1669,11,2029,No Country
30,assassin18,215,2231,36,2040,0,1500,CA
31,pawncleaner,12158,1898,64,1648,135,1888,DE
32,peradoca,179,1223,19,1304,144,1513,No Country
33,chess_dragon_6920,74,1765,48,1577,50,1843,IN
34,torturator,40,2281,25,2106,0,1500,No Country
35,papasada,656,1468,124,1310,24,1428,DO
36,akaanade,20,1544,992,1519,0,1500,FR
