,id,blitz_games,blitz_rating,rapid_games,rapid_rating,bullet_games,bullet_rating,country
0,jeryn_fernandes,149,788,1253,1155,491,922,IN
1,bibinator95,168,792,629,1291,124,749,HR
2,aineshdhar,171,791,123,1052,620,896,IN
3,anirudh_k,438,742,151,1040,335,1088,IN
4,last_galaxy,600,666,393,2008,3741,2007,ID
5,nimal28,165,901,721,1316,252,1046,MY
6,rayyan_meher2008,133,859,531,1190,145,903,AE
7,syn-rg,423,931,532,1281,558,1025,GB
8,andrewjeevandas,142,877,554,1177,543,754,IN
9,irishusmc2232,270,860,372,1142,224,683,US
10,asinei,1280,940,1074,1296,301,897,IN
11,adolfocatral,1370,924,496,1118,155,819,ES
12,rickchess93,965,995,258,1284,502,939,IT
13,twincode,120,836,143,1134,109,870,TR
14,atharva9192,258,812,227,1080,314,733,IN
15,sharkmentality,313,972,126,1096,189,1016,SH
16,savitatalikoti,189,1000,231,1119,180,1119,IN
17,balasubbu,368,886,399,1375,1203,1048,IN
18,oretolu,309,965,296,1306,115,1037,NG
19,uberalligator,305,926,275,965,138,908,UK
20,sudar2011,109,961,604,914,134,784,IN
21,xardas1994,1398,989,183,859,401,1076,PL
22,ucl2020,177,827,329,1037,149,1043,DZ
23,caylak00,660,986,265,1037,1841,1284,KR
24,arastorun,150,988,105,1341,292,895,TR
25,audiomann,10817,979,2598,1433,1741,832,NO
26,shridhar_rao,246,1146,133,1441,116,992,IN
27,zeldamazzy,386,1195,119,1347,537,943,US
28,majinnox,2248,1145,222,1443,1219,855,IN
29,joshinbaja,1735,1109,382,1241,115,891,MX
30,girishsharma2096,624,1184,156,1450,890,1252,IN
31,theoverlord420,572,1094,118,1075,224,990,UK
32,hsc_anma,331,1059,102,1144,106,1095,AU
33,jeremiahparker,106,1063,101,1317,310,1134,US
34,skitsammaaa,345,1198,265,1556,299,1266,SE
35,valeig33,162,1074,193,1348,1562,1346,BR
36,stoeree,221,1148,1288,1731,303,1385,BE
37,randomphantom13,156,1098,478,1534,588,1235,PH
38,letikol,436,1200,149,1237,449,1097,US
39,tamara8,296,1118,1711,1588,295,881,UA
40,drewtate,427,1147,123,1289,292,999,BA
41,arsen1c,420,1199,943,1667,163,1132,IN
42,statcat,452,1185,677,1473,260,1106,GB
43,rajattiwari204,237,1029,531,1283,414,967,IN
44,oxymoerion,816,1166,152,1375,1264,1218,AL
45,serdarates,377,1063,136,1319,447,1110,TR
46,ossaaama,1063,1197,329,1358,221,934,MA
47,mikolaj_ch,420,1138,538,1315,352,1335,PL
48,luukasa,702,1182,120,1242,555,1187,FI
49,radjorey,608,1195,406,1543,277,944,PH
50,joaoschimith,287,1011,339,1269,245,1043,NG
51,rooppesh,627,1061,211,1264,582,1217,IN
