,gameid,white_id,white_rating,white_country,white_games,white_win_last_10,white_inaccuracies,white_mistakes,white_blunder,white_acpl,black_id,black_rating,black_country,black_games,black_win_last_10,black_inaccuracies,black_mistakes,black_blunder,black_acpl,game_type,opening,winner,win_by
0,q95uyLmw,jeryn_fernandes,1155,IN,1253.0,4,2,0,2,156,cfrancoc,1155,BR,86.0,5,0,1,2,72,rapid,Van't Kruijs Opening,black,resign
1,7o4Cl3zU,brindosier,1093,FR,990.0,2,2,1,11,262,jeryn_fernandes,1152,IN,1253.0,6,3,0,10,231,rapid,French Defense: Knight Variation,black,outoftime
2,7ucmFZ4u,alex888rbh75,1104,IN,51.0,9,1,0,3,95,jeryn_fernandes,1107,IN,1253.0,7,3,0,4,131,rapid,Queen's Pawn Game: Franco-Sicilian Defense,white,mate
3,OgveHeqm,bibinator95,1306,HR,629.0,6,1,1,4,75,billbawbaggins,1301,GB,90.0,6,1,0,3,55,rapid,Pirc Defense,black,resign
4,fxaqP8Df,heshamelrewesh,732,EG,698.0,5,2,0,4,163,aineshdhar,813,IN,171.0,3,1,3,4,222,blitz,King's Knight Opening,white,mate
5,EsPy5XIb,aineshdhar,1056,IN,620.0,6,4,0,1,99,jaimecu80,1057,CO,8533.0,4,3,0,2,52,bullet,Bishop's Opening,black,mate
6,3n4abqpz,storkson,875,PL,216.0,6,2,0,0,95,aineshdhar,853,IN,171.0,4,1,1,2,176,blitz,Vienna Game: Anderssen Defense,white,mate
7,hVX9R0mq,anirudh_k,1058,IN,151.0,5,1,0,0,10,mayanksinghr,903,IN,417.0,4,3,0,2,65,rapid,Vienna Game: Anderssen Defense,white,mate
8,xmF8mR4n,crazyshipcaptain,1308,NO,30.0,3,2,0,0,46,anirudh_k,1004,IN,151.0,2,2,2,1,75,rapid,Scotch Game,white,resign
9,iBOOmmoH,anirudh_k,1069,IN,335.0,6,0,1,0,41,nagenrda,1049,IN,6083.0,6,0,0,1,73,bullet,Three Knights Opening,white,outoftime
10,x4p5vcZ6,siddhantkowshik,1119,IN,1233.0,3,6,2,3,87,anirudh_k,907,IN,438.0,1,3,4,2,70,blitz,Italian Game,black,resign
11,svrzVHxE,aleksey1988p,916,RU,2009.0,6,4,2,6,216,anirudh_k,990,IN,335.0,2,6,1,8,237,bullet,King's Pawn Game: Napoleon Attack,black,outoftime
12,U0W2iCb4,last_galaxy,2023,ID,3741.0,7,3,2,1,34,muckelchen,1979,DE,8221.0,5,4,1,3,64,bullet,Horwitz Defense,white,mate
13,GMzJwBlr,brainlag_19,1982,DZ,1415.0,5,5,4,1,42,last_galaxy,1998,ID,3741.0,7,5,2,1,27,bullet,Bird Opening,black,outoftime
14,lenTDsxR,last_galaxy,1982,ID,3741.0,5,3,0,3,78,mossad1984,1679,EG,27168.0,6,2,0,1,38,bullet,Modern Defense,black,resign
15,iqDWeZGZ,mossa_alshareef,2014,JO,1195.0,6,0,2,4,80,last_galaxy,1987,ID,393.0,6,3,2,4,111,rapid,Sicilian Defense: Katalimov Variation,white,mate
16,OUsABufL,diozzy,1982,AR,2617.0,5,3,1,5,95,last_galaxy,1967,ID,3741.0,5,6,2,4,127,bullet,Caro-Kann Defense,white,mate
17,eQvzb8wG,sohrabi71,1196,IR,382.0,4,3,2,6,137,nimal28,1345,MY,721.0,8,1,3,8,174,rapid,King's Pawn Game: McConnell Defense,white,mate
18,OfNzu0xK,nimal28,1241,MY,721.0,6,0,0,0,14,solarstify,897,SG,580.0,4,0,0,1,261,rapid,King's Pawn Game: Wayward Queen Attack,white,mate
19,Wp6Evwnq,yumeth1904nosalitha,1068,LK,61.0,1,2,2,3,43,nimal28,1229,MY,721.0,9,2,0,5,72,rapid,King's Pawn Game: Busch-Gass Gambit,white,resign
20,32NOGO2B,nimal28,916,MY,165.0,2,3,0,3,141,makrelll,993,DE,548.0,9,4,1,1,106,blitz,King's Pawn Game: Napoleon Attack,black,mate
21,sDLJ2Gwa,kahsin04,1002,MY,994.0,4,2,4,8,255,rayyan_meher2008,907,AE,145.0,4,0,3,9,216,bullet,Englund Gambit Complex: Hartlaub-Charlick Gambit,black,outoftime
22,D5AUUh9c,rayyan_meher2008,1201,AE,531.0,6,3,0,1,178,sarveshravi,1146,AE,960.0,7,3,0,1,112,rapid,Bishop's Opening,black,resign
23,ztcoKsnr,rayyan_meher2008,1207,AE,531.0,6,3,2,9,152,sarveshravi,1135,AE,960.0,6,4,2,6,126,rapid,King's Pawn Game: McConnell Defense,black,resign
24,C4DDP9p6,rayyan_meher2008,1214,AE,531.0,9,4,0,3,219,eshanksri90,1136,IN,1269.0,6,3,3,1,166,rapid,Russian Game: Stafford Gambit,black,mate
